"Product_ID";"Start_Date";"End_Date";"Unit_Sales_Price";"Discount"
210100100027,00;1/5/1999 00:00:00;31/5/1999 00:00:00;15,99;0,70
210100100027,00;1/5/2000 00:00:00;31/5/2000 00:00:00;15,99;0,70
210100100027,00;1/5/2001 00:00:00;31/5/2001 00:00:00;16,99;0,70
210100100027,00;1/5/2002 00:00:00;31/5/2002 00:00:00;17,99;0,70
210100100030,00;1/8/1999 00:00:00;31/8/1999 00:00:00;28,99;0,70
210100100030,00;1/8/2000 00:00:00;31/8/2000 00:00:00;29,99;0,70
210100100030,00;1/8/2001 00:00:00;31/8/2001 00:00:00;30,99;0,70
210100100030,00;1/8/2002 00:00:00;31/8/2002 00:00:00;32,99;0,70
210100100033,00;1/8/1999 00:00:00;31/8/1999 00:00:00;139,99;0,70
210100100033,00;1/8/2000 00:00:00;31/8/2000 00:00:00;146,99;0,70
210100100033,00;1/8/2001 00:00:00;31/8/2001 00:00:00;153,99;0,70
210100100033,00;1/8/2002 00:00:00;31/8/2002 00:00:00;161,99;0,70
210100100034,00;1/8/1999 00:00:00;31/8/1999 00:00:00;181,99;0,70
210100100034,00;1/8/2000 00:00:00;31/8/2000 00:00:00;183,99;0,70
210100100034,00;1/8/2001 00:00:00;31/8/2001 00:00:00;185,99;0,70
210100100034,00;1/8/2002 00:00:00;31/8/2002 00:00:00;187,99;0,70
210100100035,00;1/5/1999 00:00:00;31/5/1999 00:00:00;149,99;0,70
210100100035,00;1/5/2000 00:00:00;31/5/2000 00:00:00;156,99;0,70
210100100035,00;1/5/2001 00:00:00;31/5/2001 00:00:00;164,99;0,70
210100100035,00;1/5/2002 00:00:00;31/5/2002 00:00:00;172,99;0,70
210100100038,00;1/7/1999 00:00:00;31/7/1999 00:00:00;51,99;0,60
210100100038,00;1/7/2000 00:00:00;31/7/2000 00:00:00;53,99;0,60
210100100038,00;1/7/2001 00:00:00;31/7/2001 00:00:00;56,99;0,60
210100100038,00;1/7/2002 00:00:00;31/7/2002 00:00:00;59,99;0,60
210100100039,00;1/6/1999 00:00:00;31/8/1999 00:00:00;18,99;0,70
210100100039,00;1/6/2000 00:00:00;31/8/2000 00:00:00;19,99;0,70
210100100039,00;1/6/2001 00:00:00;31/8/2001 00:00:00;20,99;0,70
210100100039,00;1/6/2002 00:00:00;31/8/2002 00:00:00;21,99;0,70
210100100048,00;1/8/1999 00:00:00;31/8/1999 00:00:00;12,99;0,70
210100100048,00;1/8/2000 00:00:00;31/8/2000 00:00:00;12,99;0,70
210100100048,00;1/8/2001 00:00:00;31/8/2001 00:00:00;13,99;0,70
210100100048,00;1/8/2002 00:00:00;31/8/2002 00:00:00;13,99;0,70
210100100049,00;1/8/1999 00:00:00;31/8/1999 00:00:00;10,99;0,70
210100100049,00;1/8/2000 00:00:00;31/8/2000 00:00:00;10,99;0,70
210100100049,00;1/8/2001 00:00:00;31/8/2001 00:00:00;10,99;0,70
210100100049,00;1/8/2002 00:00:00;31/8/2002 00:00:00;10,99;0,70
210200100007,00;1/12/1999 00:00:00;31/12/1999 00:00:00;12,99;0,50
210200100007,00;1/12/2000 00:00:00;31/12/2000 00:00:00;12,99;0,50
210200100007,00;1/12/2001 00:00:00;31/12/2001 00:00:00;12,99;0,50
210200100007,00;1/12/2002 00:00:00;31/12/2002 00:00:00;12,99;0,50
210200100010,00;1/7/1999 00:00:00;31/7/1999 00:00:00;25,99;0,60
210200100010,00;1/7/2000 00:00:00;31/7/2000 00:00:00;25,99;0,60
210200100010,00;1/7/2001 00:00:00;31/7/2001 00:00:00;26,99;0,60
210200100010,00;1/7/2002 00:00:00;31/7/2002 00:00:00;26,99;0,60
210200100012,00;1/8/1999 00:00:00;31/8/1999 00:00:00;12,99;0,70
210200100012,00;1/8/2000 00:00:00;31/8/2000 00:00:00;12,99;0,70
210200100012,00;1/8/2001 00:00:00;31/8/2001 00:00:00;13,99;0,70
210200100012,00;1/8/2002 00:00:00;31/8/2002 00:00:00;13,99;0,70
210200100014,00;1/7/1999 00:00:00;31/7/1999 00:00:00;20,99;0,60
210200100014,00;1/7/2000 00:00:00;31/7/2000 00:00:00;21,99;0,60
210200100014,00;1/7/2001 00:00:00;31/7/2001 00:00:00;21,99;0,60
210200100014,00;1/7/2002 00:00:00;31/7/2002 00:00:00;21,99;0,60
210200100015,00;1/8/1999 00:00:00;31/8/1999 00:00:00;24,99;0,70
210200100015,00;1/8/2000 00:00:00;31/8/2000 00:00:00;25,99;0,70
210200100015,00;1/8/2001 00:00:00;31/8/2001 00:00:00;26,99;0,70
210200100015,00;1/8/2002 00:00:00;31/8/2002 00:00:00;26,99;0,70
210200100016,00;1/8/1999 00:00:00;31/8/1999 00:00:00;21,99;0,70
210200100016,00;1/8/2000 00:00:00;31/8/2000 00:00:00;22,99;0,70
210200100016,00;1/8/2001 00:00:00;31/8/2001 00:00:00;22,99;0,70
210200100016,00;1/8/2002 00:00:00;31/8/2002 00:00:00;22,99;0,70
210200200001,00;1/7/1999 00:00:00;31/7/1999 00:00:00;9,99;0,60
210200200001,00;1/7/2000 00:00:00;31/7/2000 00:00:00;9,99;0,60
210200200001,00;1/7/2001 00:00:00;31/7/2001 00:00:00;9,99;0,60
210200200001,00;1/7/2002 00:00:00;31/7/2002 00:00:00;10,99;0,60
210200200020,00;1/7/1999 00:00:00;31/7/1999 00:00:00;10,99;0,60
210200200020,00;1/7/2000 00:00:00;31/7/2000 00:00:00;10,99;0,60
210200200020,00;1/7/2001 00:00:00;31/7/2001 00:00:00;10,99;0,60
210200200020,00;1/7/2002 00:00:00;31/7/2002 00:00:00;10,99;0,60
210200200026,00;1/7/1999 00:00:00;31/7/1999 00:00:00;11,99;0,60
210200200026,00;1/7/2000 00:00:00;31/7/2000 00:00:00;11,99;0,60
210200200026,00;1/7/2001 00:00:00;31/7/2001 00:00:00;12,99;0,60
210200200026,00;1/7/2002 00:00:00;31/7/2002 00:00:00;12,99;0,60
210200200028,00;1/6/1999 00:00:00;30/6/1999 00:00:00;15,99;0,60
210200200028,00;1/6/2000 00:00:00;30/6/2000 00:00:00;16,99;0,60
210200200028,00;1/6/2001 00:00:00;30/6/2001 00:00:00;16,99;0,60
210200200028,00;1/6/2002 00:00:00;30/6/2002 00:00:00;17,99;0,60
210200200030,00;1/8/1999 00:00:00;31/8/1999 00:00:00;30,99;0,70
210200200030,00;1/8/2000 00:00:00;31/8/2000 00:00:00;31,99;0,70
210200200030,00;1/8/2001 00:00:00;31/8/2001 00:00:00;33,99;0,70
210200200030,00;1/8/2002 00:00:00;31/8/2002 00:00:00;34,99;0,70
210200300012,00;1/7/1999 00:00:00;31/7/1999 00:00:00;11,99;0,60
210200300012,00;1/7/2000 00:00:00;31/7/2000 00:00:00;11,99;0,60
210200300012,00;1/7/2001 00:00:00;31/7/2001 00:00:00;11,99;0,60
210200300012,00;1/7/2002 00:00:00;31/7/2002 00:00:00;11,99;0,60
210200300013,00;1/12/1999 00:00:00;31/12/1999 00:00:00;7,99;0,50
210200300013,00;1/12/2000 00:00:00;31/12/2000 00:00:00;7,99;0,50
210200300013,00;1/12/2001 00:00:00;31/12/2001 00:00:00;7,99;0,50
210200300013,00;1/12/2002 00:00:00;31/12/2002 00:00:00;7,99;0,50
210200300025,00;1/12/1999 00:00:00;31/12/1999 00:00:00;22,99;0,50
210200300025,00;1/12/2000 00:00:00;31/12/2000 00:00:00;22,99;0,50
210200300025,00;1/12/2001 00:00:00;31/12/2001 00:00:00;22,99;0,50
210200300025,00;1/12/2002 00:00:00;31/12/2002 00:00:00;22,99;0,50
210200300032,00;1/12/1999 00:00:00;31/12/1999 00:00:00;23,99;0,50
210200300032,00;1/12/2000 00:00:00;31/12/2000 00:00:00;23,99;0,50
210200300032,00;1/12/2001 00:00:00;31/12/2001 00:00:00;23,99;0,50
210200300032,00;1/12/2002 00:00:00;31/12/2002 00:00:00;23,99;0,50
210200300046,00;1/7/1999 00:00:00;31/7/1999 00:00:00;35,99;0,60
210200300046,00;1/7/2000 00:00:00;31/7/2000 00:00:00;35,99;0,60
210200300046,00;1/7/2001 00:00:00;31/7/2001 00:00:00;35,99;0,60
210200300046,00;1/7/2002 00:00:00;31/7/2002 00:00:00;36,99;0,60
210200300050,00;1/6/1999 00:00:00;30/6/1999 00:00:00;14,99;0,70
210200300050,00;1/6/2000 00:00:00;30/6/2000 00:00:00;15,99;0,70
210200300050,00;1/6/2001 00:00:00;30/6/2001 00:00:00;15,99;0,70
210200300050,00;1/6/2002 00:00:00;30/6/2002 00:00:00;15,99;0,70
