"County_ID";"County_Type";"County_Name";"Province_Type";"Province_Name";"Region_Name";"Region_Type";"State_ID";"Country"
35000000,00;;;350001,00;"N/A";"N/A";350002,00;3500000,00;"FR"
35000001,00;;;350001,00;"Ain";"Rhône-Alpes";350002,00;3500000,00;"FR"
35000002,00;;;350001,00;"Aisne";"Picardie";350002,00;3500000,00;"FR"
35000003,00;;;350001,00;"Allier";"Auvergne";350002,00;3500000,00;"FR"
35000004,00;;;350001,00;"Alpes-de-Haute-Provence";"Provence-Alpes-Côte-d'Azur";350002,00;3500000,00;"FR"
35000005,00;;;350001,00;"Hautes-Alpes";"Provence-Alpes-Côte-d'Azur";350002,00;3500000,00;"FR"
35000006,00;;;350001,00;"Alpes-Maritimes";"Provence-Alpes-Côte-d'Azur";350002,00;3500000,00;"FR"
35000007,00;;;350001,00;"Ardeche";"Rhône-Alpes";350002,00;3500000,00;"FR"
35000008,00;;;350001,00;"Ardennes";"Champagne-Ardenne";350002,00;3500000,00;"FR"
35000009,00;;;350001,00;"Ariege";"Midi-Pyrénées";350002,00;3500000,00;"FR"
35000010,00;;;350001,00;"Aube";"Champagne-Ardenne";350002,00;3500000,00;"FR"
35000011,00;;;350001,00;"Aude";"Languedoc-Roussillon";350002,00;3500000,00;"FR"
35000012,00;;;350001,00;"Aveyron";"Midi-Pyrénées";350002,00;3500000,00;"FR"
35000013,00;;;350001,00;"Bouches-du-Rhone";"Provence-Alpes-Côte-d'Azur";350002,00;3500000,00;"FR"
35000014,00;;;350001,00;"Calvados";"Basse-Normandie";350002,00;3500000,00;"FR"
35000015,00;;;350001,00;"Cantal";"Auvergne";350002,00;3500000,00;"FR"
35000016,00;;;350001,00;"Charente";"Poitou-Charentes";350002,00;3500000,00;"FR"
35000017,00;;;350001,00;"Charente-Maritime";"Poitou-Charentes";350002,00;3500000,00;"FR"
35000018,00;;;350001,00;"Cher";"Centre";350002,00;3500000,00;"FR"
35000019,00;;;350001,00;"Correze";"Limousin";350002,00;3500000,00;"FR"
35000021,00;;;350001,00;"Cote-d'Or";"Bourgogne";350002,00;3500000,00;"FR"
35000022,00;;;350001,00;"Cotes-d'Armor";"Bretagne";350002,00;3500000,00;"FR"
35000023,00;;;350001,00;"Creuse";"Limousin";350002,00;3500000,00;"FR"
35000024,00;;;350001,00;"Dordogne";"Aquitaine";350002,00;3500000,00;"FR"
35000025,00;;;350001,00;"Doubs";"Franche-Comté";350002,00;3500000,00;"FR"
35000026,00;;;350001,00;"Drome";"Rhône-Alpes";350002,00;3500000,00;"FR"
35000027,00;;;350001,00;"Eure";"Haute-Normandie";350002,00;3500000,00;"FR"
35000028,00;;;350001,00;"Eure-Et-Loir";"Centre";350002,00;3500000,00;"FR"
35000029,00;;;350001,00;"Finistere";"Bretagne";350002,00;3500000,00;"FR"
35000030,00;;;350001,00;"Gard";"Languedoc-Roussillon";350002,00;3500000,00;"FR"
35000031,00;;;350001,00;"Haute-Garonne";"Midi-Pyrénées";350002,00;3500000,00;"FR"
35000032,00;;;350001,00;"Gers";"Midi-Pyrénées";350002,00;3500000,00;"FR"
35000033,00;;;350001,00;"Gironde";"Aquitaine";350002,00;3500000,00;"FR"
35000034,00;;;350001,00;"Herault";"Languedoc-Roussillon";350002,00;3500000,00;"FR"
35000035,00;;;350001,00;"Ille-Et-Vilaine";"Bretagne";350002,00;3500000,00;"FR"
35000036,00;;;350001,00;"Indre";"Centre";350002,00;3500000,00;"FR"
35000037,00;;;350001,00;"Indre-Et-Loire";"Centre";350002,00;3500000,00;"FR"
35000038,00;;;350001,00;"Isere";"Rhône-Alpes";350002,00;3500000,00;"FR"
35000039,00;;;350001,00;"Jura";"Franche-Comté";350002,00;3500000,00;"FR"
35000040,00;;;350001,00;"Landes";"Aquitaine";350002,00;3500000,00;"FR"
35000041,00;;;350001,00;"Loir-Et-Cher";"Centre";350002,00;3500000,00;"FR"
35000042,00;;;350001,00;"Loire";"Rhône-Alpes";350002,00;3500000,00;"FR"
35000043,00;;;350001,00;"Haute-Loire";"Auvergne";350002,00;3500000,00;"FR"
35000044,00;;;350001,00;"Loire-Atlantique";"Pays-de-la-Loire";350002,00;3500000,00;"FR"
35000045,00;;;350001,00;"Loiret";"Centre";350002,00;3500000,00;"FR"
35000046,00;;;350001,00;"Lot";"Midi-Pyrénées";350002,00;3500000,00;"FR"
35000047,00;;;350001,00;"Lot-Et-Garonne";"Aquitaine";350002,00;3500000,00;"FR"
35000048,00;;;350001,00;"Lozere";"Languedoc-Roussillon";350002,00;3500000,00;"FR"
35000049,00;;;350001,00;"Maine-Et-Loire";"Pays-de-la-Loire";350002,00;3500000,00;"FR"
35000050,00;;;350001,00;"Manche";"Basse-Normandie";350002,00;3500000,00;"FR"
35000051,00;;;350001,00;"Marne";"Champagne-Ardenne";350002,00;3500000,00;"FR"
35000052,00;;;350001,00;"Haute-Marne";"Champagne-Ardenne";350002,00;3500000,00;"FR"
35000053,00;;;350001,00;"Mayenne";"Pays-de-la-Loire";350002,00;3500000,00;"FR"
35000054,00;;;350001,00;"Meurthe-Et-Moselle";"Lorraine";350002,00;3500000,00;"FR"
35000055,00;;;350001,00;"Meuse";"Lorraine";350002,00;3500000,00;"FR"
35000056,00;;;350001,00;"Morbihan";"Bretagne";350002,00;3500000,00;"FR"
35000057,00;;;350001,00;"Moselle";"Lorraine";350002,00;3500000,00;"FR"
35000058,00;;;350001,00;"Nievre";"Bourgogne";350002,00;3500000,00;"FR"
35000059,00;;;350001,00;"Nord";"Nord-Pas-de-Calais";350002,00;3500000,00;"FR"
35000060,00;;;350001,00;"Oise";"Picardie";350002,00;3500000,00;"FR"
35000061,00;;;350001,00;"Orne";"Basse-Normandie";350002,00;3500000,00;"FR"
35000062,00;;;350001,00;"Pas-de-Calais";"Nord-Pas-de-Calais";350002,00;3500000,00;"FR"
35000063,00;;;350001,00;"Puy-de-Dome";"Auvergne";350002,00;3500000,00;"FR"
35000064,00;;;350001,00;"Pyrenees-Atlantiques";"Aquitaine";350002,00;3500000,00;"FR"
35000065,00;;;350001,00;"Hautes-Pyrenees";"Midi-Pyrénées";350002,00;3500000,00;"FR"
35000066,00;;;350001,00;"Pyrenees-Orientales";"Languedoc-Roussillon";350002,00;3500000,00;"FR"
35000067,00;;;350001,00;"Bas-Rhin";"Alsace";350002,00;3500000,00;"FR"
35000068,00;;;350001,00;"Haut-Rhin";"Alsace";350002,00;3500000,00;"FR"
35000069,00;;;350001,00;"Rhone";"Rhône-Alpes";350002,00;3500000,00;"FR"
35000070,00;;;350001,00;"Haute-Saone";"Franche-Comté";350002,00;3500000,00;"FR"
35000071,00;;;350001,00;"Saone-Et-Loire";"Bourgogne";350002,00;3500000,00;"FR"
35000072,00;;;350001,00;"Sarthe";"Pays-de-la-Loire";350002,00;3500000,00;"FR"
35000073,00;;;350001,00;"Savoie";"Rhône-Alpes";350002,00;3500000,00;"FR"
35000074,00;;;350001,00;"Haute-Savoie";"Rhône-Alpes";350002,00;3500000,00;"FR"
35000075,00;;;350001,00;"Paris";"Ile-de-France";350002,00;3500000,00;"FR"
35000076,00;;;350001,00;"Seine-Maritime";"Haute-Normandie";350002,00;3500000,00;"FR"
35000077,00;;;350001,00;"Seine-Et-Marne";"Ile-de-France";350002,00;3500000,00;"FR"
35000078,00;;;350001,00;"Yvelines";"Ile-de-France";350002,00;3500000,00;"FR"
35000079,00;;;350001,00;"Deux-Sevres";"Poitou-Charentes";350002,00;3500000,00;"FR"
35000080,00;;;350001,00;"Somme";"Picardie";350002,00;3500000,00;"FR"
35000081,00;;;350001,00;"Tarn";"Midi-Pyrénées";350002,00;3500000,00;"FR"
35000082,00;;;350001,00;"Tarn-Et-Garonne";"Midi-Pyrénées";350002,00;3500000,00;"FR"
35000083,00;;;350001,00;"Var";"Provence-Alpes-Côte-d'Azur";350002,00;3500000,00;"FR"
35000084,00;;;350001,00;"Vaucluse";"Provence-Alpes-Côte-d'Azur";350002,00;3500000,00;"FR"
35000085,00;;;350001,00;"Vendee";"Pays-de-la-Loire";350002,00;3500000,00;"FR"
35000086,00;;;350001,00;"Vienne";"Poitou-Charentes";350002,00;3500000,00;"FR"
35000087,00;;;350001,00;"Haute-Vienne";"Limousin";350002,00;3500000,00;"FR"
35000088,00;;;350001,00;"Vosges";"Lorraine";350002,00;3500000,00;"FR"
35000089,00;;;350001,00;"Yonne";"Bourgogne";350002,00;3500000,00;"FR"
35000090,00;;;350001,00;"Territoire-de-Belfort";"Franche-Comté";350002,00;3500000,00;"FR"
35000091,00;;;350001,00;"Essonne";"Ile-de-France";350002,00;3500000,00;"FR"
35000092,00;;;350001,00;"Hauts-de-Seine";"Ile-de-France";350002,00;3500000,00;"FR"
35000093,00;;;350001,00;"Seine-Saint-Denis";"Ile-de-France";350002,00;3500000,00;"FR"
35000094,00;;;350001,00;"Val-de-Marne";"Ile-de-France";350002,00;3500000,00;"FR"
35000095,00;;;350001,00;"Val-d'Oise";"Ile-de-France";350002,00;3500000,00;"FR"
35000201,00;;;350001,00;"Corse-du-Sud";"Corse";350002,00;3500000,00;"FR"
35000202,00;;;350001,00;"Haute-Corse";"Corse";350002,00;3500000,00;"FR"
92500000,00;;;;"N/A";;;9250000,00;"GB"
92500001,00;;;925001,00;"Avon";;;9250001,00;"GB"
92500002,00;;;925001,00;"Bedfordshire";;;9250001,00;"GB"
92500003,00;;;925001,00;"Berkshire";;;9250001,00;"GB"
92500004,00;;;925001,00;"Buckinghamshire";;;9250001,00;"GB"
92500005,00;;;925001,00;"Cambridgeshire";;;9250001,00;"GB"
